experiment_seed,request_id,target_sku_id,brand_preference,min_ram_gb,min_storage_gb,eligible_substitute_skus,substitution_tolerance,requested_quantity,q_raw,quantity_cap,current_price,budget_factor,budget,deadline_days,price_flexibility,price_tolerance_pct,quantity_flexibility,quantity_tolerance_pct,timing_flexibility,timing_tolerance_days,on_hand,reserved,incoming_quantity,incoming_eta_days,incoming_available,expected_demand_for_feasibility,available,baseline_feasible,classification
20260821,24,LAP-003,CoreX,8,256,[],0,37,37.064820405766824,113,32360,0.8179199208745914,979311.8796615658,3,Medium,0.05,Medium,0.25,Low,0,239,26.0,183,10.0,0,43,170.0,True,BASELINE_ACCEPT
20260821,25,LAP-037,Byte,64,2048,[],1,27,27.313388220165216,37,66430,0.800830043174239,1436376.7737377468,5,High,0.1,High,0.5,Low,0,51,4.0,0,,0,24,23.0,False,CONSTRAINT_CONFLICT
20260821,26,LAP-009,Nova,16,256,"[""LAP-014"",""LAP-019"",""LAP-029"",""LAP-034"",""LAP-039"",""LAP-049""]",1,9,9.292866477226902,71,47820,0.7874181188267343,338889.0099806499,5,Medium,0.05,Medium,0.25,Low,0,88,6.0,0,,0,44,38.0,True,OPPORTUNITY
20260821,27,LAP-044,Nova,8,256,[],0,16,16.34089225067789,28,103300,0.9538608401965978,1576541.1966769367,10,Medium,0.05,Low,0.1,Medium,2,58,9.0,0,,0,34,15.0,False,CONSTRAINT_CONFLICT
20260821,28,LAP-022,Byte,8,1024,[],0,29,28.806655512873327,45,41410,0.903899810583275,1085484.243531349,5,Low,0.02,Low,0.1,High,3,61,5.0,0,,0,28,28.0,False,CONSTRAINT_CONFLICT
20260821,29,LAP-007,Byte,16,256,"[""LAP-012"",""LAP-017"",""LAP-027"",""LAP-032"",""LAP-037"",""LAP-047""]",1,15,14.987249707355854,36,26850,0.7915420969489751,318793.57954619976,7,Low,0.02,Medium,0.25,High,3,57,6.0,61,7.0,61,31,81.0,True,OPPORTUNITY
20260821,30,LAP-017,Byte,64,512,"[""LAP-037""]",1,28,27.843684706896113,45,41040,0.8451656030155704,971196.6977372523,5,Low,0.02,Low,0.1,Medium,2,83,18.0,0,,0,28,37.0,True,OPPORTUNITY
20260821,31,LAP-033,CoreX,32,2048,"[""LAP-038""]",1,19,19.07155331671709,37,65810,1.1419320435991012,1427860.40799588,5,Low,0.02,Medium,0.25,Medium,2,86,4.0,0,,0,23,59.0,True,OPPORTUNITY
20260821,32,LAP-002,Byte,8,256,[],0,32,31.805927973854374,56,30490,0.9957589323224866,971542.0750884037,5,Low,0.02,Low,0.1,Low,0,118,14.0,70,4.0,70,35,139.0,True,OPPORTUNITY
20260821,33,LAP-025,Vertex,8,1024,[],0,14,14.349143570164994,34,35260,0.925889186119278,457055.93783592037,5,Low,0.02,Medium,0.25,High,3,33,5.0,54,7.0,0,21,7.0,False,CONSTRAINT_CONFLICT
20260821,34,LAP-002,Byte,8,256,"[""LAP-007"",""LAP-012"",""LAP-017"",""LAP-022"",""LAP-027"",""LAP-032"",""LAP-037"",""LAP-042"",""LAP-047""]",1,29,29.424503055269078,56,30490,1.2068439269355882,1067103.4686357165,7,Low,0.02,High,0.5,Medium,2,118,14.0,70,4.0,70,49,125.0,True,OPPORTUNITY
20260821,35,LAP-021,Aster,8,1024,[],0,11,10.522526719928909,68,52420,0.8925506846275203,514662.5757699208,5,Medium,0.05,High,0.5,Low,0,153,23.0,0,,0,43,87.0,True,BASELINE_ACCEPT
20260821,36,LAP-040,Vertex,64,2048,[],0,19,18.8154527458122,29,60870,0.824616755852045,953694.0166455655,7,Medium,0.05,Low,0.1,Medium,2,47,4.0,0,,0,26,17.0,False,HARD_REJECT
20260821,37,LAP-003,CoreX,8,256,[],0,21,20.506781344097153,113,32360,1.0227033612425924,694988.2961660161,2,Medium,0.05,Low,0.1,Medium,2,239,26.0,183,10.0,0,29,184.0,True,BASELINE_ACCEPT
20260821,38,LAP-011,Aster,32,512,[],0,56,56.03088344646026,65,47120,0.7845604822649141,2070235.4357620743,2,Medium,0.05,Medium,0.25,Medium,2,146,20.0,0,,0,17,109.0,True,OPPORTUNITY
20260821,39,LAP-041,Aster,8,256,"[""LAP-001"",""LAP-006"",""LAP-011"",""LAP-016"",""LAP-021"",""LAP-026"",""LAP-031"",""LAP-036"",""LAP-046""]",1,8,8.319441095387583,20,81770,0.9643703761293353,630852.525248766,10,Medium,0.05,Low,0.1,Low,0,40,0.0,35,7.0,35,25,50.0,True,OPPORTUNITY
20260821,40,LAP-013,CoreX,32,512,"[""LAP-018"",""LAP-033"",""LAP-038""]",1,9,9.384411223562081,36,41240,1.005622788364613,373246.95412940974,2,Low,0.02,Low,0.1,Medium,2,76,12.0,53,7.0,0,9,55.0,True,OPPORTUNITY
20260821,41,LAP-023,CoreX,8,1024,"[""LAP-028"",""LAP-033"",""LAP-038""]",1,16,15.518964483227238,43,40220,0.9138715738991587,588094.6352355867,5,Medium,0.05,High,0.5,Low,0,91,13.0,43,2.0,43,27,94.0,True,OPPORTUNITY
20260821,42,LAP-049,Nova,16,256,[],0,6,6.029214920839914,20,117210,1.1171076413503216,785617.1198560272,2,Low,0.02,Medium,0.25,Low,0,17,5.0,0,,0,4,8.0,True,OPPORTUNITY
20260821,43,LAP-035,Vertex,32,2048,"[""LAP-040""]",1,12,11.683144323517395,23,70250,1.052815812039782,887523.7295495361,5,Low,0.02,Medium,0.25,Low,0,47,12.0,0,,0,14,21.0,True,OPPORTUNITY
20260821,44,LAP-019,Nova,64,512,[],0,27,26.676720988012967,45,50870,0.844938258767685,1160514.2490348278,2,High,0.1,Low,0.1,Low,0,62,3.0,0,,0,12,47.0,True,OPPORTUNITY
20260821,45,LAP-009,Nova,16,256,"[""LAP-014"",""LAP-019"",""LAP-029"",""LAP-034"",""LAP-039"",""LAP-049""]",1,28,28.18167069162428,71,47820,0.8429574513377873,1128686.3090432438,5,Medium,0.05,Medium,0.25,Medium,2,88,6.0,0,,0,44,38.0,True,OPPORTUNITY
20260821,46,LAP-022,Byte,8,1024,[],0,20,20.002883579861617,45,41410,0.9391637298637416,777815.4010731508,5,Low,0.02,Medium,0.25,Low,0,61,5.0,0,,0,28,28.0,True,OPPORTUNITY
20260821,47,LAP-033,CoreX,32,2048,"[""LAP-038""]",1,19,18.658212378691243,37,65810,0.8357151353578656,1044969.8481001215,5,Medium,0.05,Low,0.1,Medium,2,86,4.0,0,,0,23,59.0,True,OPPORTUNITY
20260821,48,LAP-006,Aster,16,256,[],0,36,36.20943836639273,53,34710,0.8257503123738241,1031824.5603298356,5,Low,0.02,Medium,0.25,Medium,2,124,15.0,33,8.0,0,33,76.0,True,BASELINE_ACCEPT
20260821,49,LAP-034,Nova,32,2048,[],0,17,16.584879111362348,29,54610,1.0047556671563995,932785.0187179866,2,Low,0.02,Low,0.1,High,3,51,15.0,54,3.0,0,8,28.0,True,OPPORTUNITY
20260821,50,LAP-004,Nova,8,256,[],0,34,33.67705156452174,52,28000,1.0626221906315094,1011616.325481197,2,Low,0.02,Low,0.1,Medium,2,116,11.0,0,,0,13,92.0,True,OPPORTUNITY
20260821,51,LAP-028,CoreX,16,1024,"[""LAP-033"",""LAP-038""]",1,20,20.485375917486323,27,52120,0.8092293743643941,843540.6998374445,5,Low,0.02,Low,0.1,Low,0,56,7.0,33,10.0,0,17,32.0,True,OPPORTUNITY
20260821,52,LAP-028,CoreX,16,1024,[],0,15,14.739225148896463,27,52120,0.8056504469469578,629857.5194231316,2,Low,0.02,Medium,0.25,Medium,2,56,7.0,33,10.0,0,7,42.0,True,OPPORTUNITY
20260821,53,LAP-025,Vertex,8,1024,[],0,13,12.70375131741415,34,35260,0.9306410278371057,426587.2343399725,7,Medium,0.05,Low,0.1,Low,0,33,5.0,54,7.0,54,29,53.0,True,OPPORTUNITY
20260821,54,LAP-013,CoreX,32,512,"[""LAP-018"",""LAP-033"",""LAP-038""]",1,21,20.573062435729035,36,41240,0.9605440131708487,831869.5371664818,7,High,0.1,Low,0.1,High,3,76,12.0,53,7.0,53,32,85.0,True,OPPORTUNITY
20260821,55,LAP-014,Nova,32,512,[],0,24,24.349141185416773,42,45030,0.9772283769097893,1056110.2514939473,5,High,0.1,Low,0.1,Low,0,42,3.0,0,,0,27,12.0,False,HARD_REJECT
20260821,56,LAP-017,Byte,64,512,[],0,26,25.584381453706275,45,41040,0.8199114371113846,874878.2998553318,5,Medium,0.05,Medium,0.25,Low,0,83,18.0,0,,0,28,37.0,True,OPPORTUNITY
20260821,57,LAP-022,Byte,8,1024,"[""LAP-027"",""LAP-032"",""LAP-037""]",1,4,3.5521056827414337,45,41410,1.043264389490001,172806.31347512378,3,Low,0.02,Medium,0.25,Medium,2,61,5.0,0,,0,17,39.0,True,OPPORTUNITY
20260821,58,LAP-012,Byte,32,512,[],0,15,15.1419738741199,43,37160,1.0315550576058021,574988.7891094742,7,Low,0.02,Low,0.1,Medium,2,69,18.0,0,,0,38,13.0,False,HARD_REJECT
20260821,59,LAP-045,Vertex,8,256,[],0,11,10.662646434608131,20,91230,0.8689076895591992,871974.9337033432,5,Medium,0.05,High,0.5,High,3,21,7.0,17,6.0,0,12,2.0,False,CONSTRAINT_CONFLICT
20260821,60,LAP-008,CoreX,16,256,"[""LAP-013"",""LAP-018"",""LAP-028"",""LAP-033"",""LAP-038"",""LAP-048""]",1,30,30.003786520670875,63,32230,0.8287332953454427,801302.2232695086,2,Low,0.02,Low,0.1,Low,0,141,11.0,0,,0,16,114.0,True,OPPORTUNITY
20260821,61,LAP-033,CoreX,32,2048,[],0,4,4.148346396068276,37,65810,0.9741608727158287,256438.10813371476,7,Medium,0.05,Medium,0.25,Medium,2,86,4.0,0,,0,32,50.0,True,BASELINE_ACCEPT
20260821,62,LAP-011,Aster,32,512,[],0,21,21.05420563337819,65,47120,0.8627137310418248,853672.4911405065,5,Medium,0.05,Medium,0.25,Low,0,146,20.0,0,,0,41,85.0,True,OPPORTUNITY
20260821,63,LAP-023,CoreX,8,1024,"[""LAP-028"",""LAP-033"",""LAP-038""]",1,14,13.629767513377198,43,40220,0.9254635324269337,521110.00583895785,10,Medium,0.05,Medium,0.25,Medium,2,91,13.0,43,2.0,43,54,67.0,True,OPPORTUNITY
20260821,64,LAP-029,Nova,16,1024,"[""LAP-034"",""LAP-039""]",1,3,3.4624082164979324,26,70420,0.8308418957942489,175523.65890549304,7,Low,0.02,Low,0.1,Low,0,45,3.0,23,9.0,0,23,19.0,True,OPPORTUNITY
20260821,65,LAP-018,CoreX,64,512,[],0,13,12.873759183594771,65,48660,0.8670157138490985,548456.8002666627,3,Low,0.02,Medium,0.25,Low,0,73,24.0,0,,0,25,24.0,True,BASELINE_ACCEPT
20260821,66,LAP-042,Byte,8,256,[],0,11,10.92192934840182,27,84040,0.9870017318115724,912423.8809558899,3,Low,0.02,Medium,0.25,Medium,2,30,1.0,0,,0,11,18.0,True,BASELINE_ACCEPT
20260821,67,LAP-023,CoreX,8,1024,"[""LAP-028"",""LAP-033"",""LAP-038""]",1,9,8.526602024631536,43,40220,0.9338625208313832,338039.5552905441,3,Low,0.02,Medium,0.25,Medium,2,91,13.0,43,2.0,43,17,104.0,True,OPPORTUNITY
20260821,68,LAP-017,Byte,64,512,[],0,15,14.852837116903308,45,41040,0.8182499517453246,503714.6702944218,5,Low,0.02,Low,0.1,Low,0,83,18.0,0,,0,28,37.0,True,OPPORTUNITY
20260821,69,LAP-040,Vertex,64,2048,[],0,29,34.87562119634946,29,60870,0.8717210242914435,1538788.1037099848,2,High,0.1,Low,0.1,Low,0,47,4.0,0,,0,8,35.0,True,OPPORTUNITY
20260821,70,LAP-020,Vertex,64,512,[],0,16,15.752636614298645,38,40710,0.8205191090087974,534453.3268439703,5,Low,0.02,Low,0.1,Medium,2,89,5.0,61,7.0,0,24,60.0,True,OPPORTUNITY
20260821,71,LAP-005,Vertex,8,256,[],0,19,19.02359245777036,74,29990,0.8646384246434836,492679.6207461034,3,Low,0.02,Medium,0.25,Low,0,101,10.0,0,,0,28,63.0,True,OPPORTUNITY
20260821,72,LAP-021,Aster,8,1024,"[""LAP-026"",""LAP-031"",""LAP-036""]",1,13,13.370463356385228,68,52420,0.8335423364497427,568025.7605970417,5,Low,0.02,Low,0.1,Low,0,153,23.0,0,,0,43,87.0,True,OPPORTUNITY
20260821,73,LAP-029,Nova,16,1024,[],0,14,13.905740477087376,26,70420,0.809090267454632,797665.9128781726,3,Low,0.02,Low,0.1,High,3,45,3.0,23,9.0,0,10,32.0,True,OPPORTUNITY
20260821,74,LAP-048,CoreX,16,256,"[""LAP-008"",""LAP-013"",""LAP-018"",""LAP-028"",""LAP-033"",""LAP-038""]",1,2,2.2279818737444956,20,110910,0.862097164157629,191230.39295344526,2,Low,0.02,Medium,0.25,Medium,2,14,3.0,8,7.0,0,4,7.0,True,OPPORTUNITY
20260821,75,LAP-033,CoreX,32,2048,[],0,3,3.208632325496112,37,65810,0.8652647412900583,170829.2178728962,5,Low,0.02,Low,0.1,Low,0,86,4.0,0,,0,23,59.0,True,BASELINE_ACCEPT
20260821,76,LAP-028,CoreX,16,1024,"[""LAP-033"",""LAP-038""]",1,13,12.839707667534995,27,52120,0.9491709553894195,643120.272533655,10,Low,0.02,Medium,0.25,Low,0,56,7.0,33,10.0,33,33,49.0,True,OPPORTUNITY
20260821,77,LAP-019,Nova,64,512,[],0,45,49.68148220417599,45,50870,0.9592200177521699,2195798.50363738,7,Medium,0.05,Low,0.1,Medium,2,62,3.0,0,,0,40,19.0,False,HARD_REJECT
20260821,78,LAP-038,CoreX,64,2048,[],0,27,27.147728073780552,31,61880,0.92037354964736,1537723.3118088231,3,High,0.1,High,0.5,Low,0,61,9.0,30,6.0,0,12,40.0,True,OPPORTUNITY
20260821,79,LAP-004,Nova,8,256,[],0,8,7.8650478234301495,52,28000,0.8282656492228342,185531.50542591486,10,Low,0.02,Low,0.1,High,3,116,11.0,0,,0,65,40.0,True,OPPORTUNITY
20260821,80,LAP-050,Vertex,16,256,"[""LAP-010"",""LAP-015"",""LAP-020"",""LAP-030"",""LAP-035"",""LAP-040""]",1,5,4.7376399050095,20,116540,0.9682566670023796,564203.1598622865,5,Low,0.02,Low,0.1,Medium,2,27,0.0,15,8.0,0,8,19.0,True,OPPORTUNITY
20260821,81,LAP-041,Aster,8,256,[],0,10,9.89967611735076,20,81770,1.0251361768733869,838253.8518293684,3,Low,0.02,Medium,0.25,Low,0,40,0.0,35,7.0,0,8,32.0,True,OPPORTUNITY
20260821,82,LAP-003,CoreX,8,256,[],0,42,41.932208940979336,113,32360,1.0231958674387986,1390645.96735342,3,Medium,0.05,High,0.5,Medium,2,239,26.0,183,10.0,0,43,170.0,True,BASELINE_ACCEPT
20260821,83,LAP-036,Aster,64,2048,[],0,28,28.193673142711162,46,63850,1.007136872528341,1800559.300706168,5,Low,0.02,High,0.5,Low,0,109,18.0,0,,0,29,62.0,True,BASELINE_ACCEPT
20260821,84,LAP-041,Aster,8,256,[],0,12,12.243328497304113,20,81770,0.8676058204773945,851329.5352852386,5,Low,0.02,Low,0.1,Low,0,40,0.0,35,7.0,0,13,27.0,True,OPPORTUNITY
20260821,85,LAP-004,Nova,8,256,"[""LAP-009"",""LAP-014"",""LAP-019"",""LAP-024"",""LAP-029"",""LAP-034"",""LAP-039"",""LAP-044"",""LAP-049""]",1,14,14.095023285585363,52,28000,1.0269695145821816,402572.0497162152,5,High,0.1,Low,0.1,Medium,2,116,11.0,0,,0,33,72.0,True,OPPORTUNITY
20260821,86,LAP-011,Aster,32,512,[],0,44,44.14408896487479,65,47120,0.8894996230549903,1844181.7784874502,5,Low,0.02,Low,0.1,Low,0,146,20.0,0,,0,41,85.0,True,OPPORTUNITY
20260821,87,LAP-043,CoreX,8,256,"[""LAP-003"",""LAP-008"",""LAP-013"",""LAP-018"",""LAP-023"",""LAP-028"",""LAP-033"",""LAP-038"",""LAP-048""]",1,5,4.549735573973173,20,84550,0.7912851924852918,334515.8151231571,7,Medium,0.05,Medium,0.25,Low,0,47,0.0,0,,0,17,30.0,True,OPPORTUNITY
20260821,88,LAP-028,CoreX,16,1024,[],0,5,5.163947782965063,27,52120,1.0477442886806547,273042.1616301786,7,Medium,0.05,Medium,0.25,High,3,56,7.0,33,10.0,0,24,25.0,True,OPPORTUNITY
20260821,89,LAP-018,CoreX,64,512,[],0,33,32.81697392028357,65,48660,0.9362089096127357,1503345.5428779388,2,Low,0.02,Medium,0.25,Medium,2,73,24.0,0,,0,17,32.0,False,CONSTRAINT_CONFLICT
20260821,90,LAP-046,Aster,16,256,"[""LAP-006"",""LAP-011"",""LAP-016"",""LAP-026"",""LAP-031"",""LAP-036""]",1,6,6.050027867246925,20,88820,1.0096369604658086,538055.7289714387,7,Low,0.02,Low,0.1,Medium,2,15,5.0,0,,0,14,-4.0,False,CONSTRAINT_CONFLICT
20260821,91,LAP-048,CoreX,16,256,"[""LAP-008"",""LAP-013"",""LAP-018"",""LAP-028"",""LAP-033"",""LAP-038""]",1,4,4.39673241493553,20,110910,1.104618154010368,490052.7978451596,7,Medium,0.05,Low,0.1,Medium,2,14,3.0,8,7.0,8,11,8.0,True,OPPORTUNITY
20260821,92,LAP-026,Aster,16,1024,"[""LAP-031"",""LAP-036""]",1,18,18.178559534370414,38,41610,0.9303519307168432,696814.9890683012,3,Medium,0.05,High,0.5,Medium,2,93,9.0,0,,0,15,69.0,True,OPPORTUNITY
20260821,93,LAP-038,CoreX,64,2048,[],0,16,15.61077098601844,31,61880,0.948376453593373,938968.5591737267,5,Low,0.02,Medium,0.25,Medium,2,61,9.0,30,6.0,0,19,33.0,True,OPPORTUNITY
20260821,94,LAP-022,Byte,8,1024,[],0,15,15.08689257033396,45,41410,0.9291410446550232,577135.9598874677,5,High,0.1,High,0.5,Medium,2,61,5.0,0,,0,28,28.0,True,OPPORTUNITY
20260821,95,LAP-013,CoreX,32,512,[],0,16,15.995063681792855,36,41240,0.7559933169197081,498834.6302363002,7,Low,0.02,High,0.5,Medium,2,76,12.0,53,7.0,53,32,85.0,True,OPPORTUNITY
20260821,96,LAP-003,CoreX,8,256,"[""LAP-008"",""LAP-013"",""LAP-018"",""LAP-023"",""LAP-028"",""LAP-033"",""LAP-038"",""LAP-043"",""LAP-048""]",1,37,37.03125111619801,113,32360,0.7979365620326311,955385.4044529098,5,Low,0.02,Low,0.1,Low,0,239,26.0,183,10.0,0,71,142.0,True,OPPORTUNITY
20260821,97,LAP-023,CoreX,8,1024,[],0,29,29.43952649472837,43,40220,0.8788690108469903,1025095.2368717126,3,Medium,0.05,Low,0.1,Low,0,91,13.0,43,2.0,43,17,104.0,True,OPPORTUNITY
20260821,98,LAP-038,CoreX,64,2048,[],0,4,3.8871215651568725,31,61880,0.9548181483901632,236336.5880895332,5,High,0.1,Low,0.1,High,3,61,9.0,30,6.0,0,19,33.0,True,OPPORTUNITY
20260821,99,LAP-015,Vertex,32,512,[],0,11,10.904457843689281,54,50860,0.8687891933242831,486052.8020972034,7,High,0.1,Low,0.1,Medium,2,108,10.0,0,,0,48,50.0,True,BASELINE_ACCEPT
20260821,100,LAP-040,Vertex,64,2048,[],1,3,2.947183830769171,29,60870,0.9273346467681333,169340.57984632882,3,Medium,0.05,Low,0.1,Low,0,47,4.0,0,,0,11,32.0,True,OPPORTUNITY
20260822,1,LAP-041,Aster,8,256,[],0,15,14.836713692500295,20,81770,0.9450560571310243,1159158.5068740577,2,Low,0.02,Low,0.1,Low,0,40,0.0,35,7.0,0,5,35.0,True,OPPORTUNITY
20260822,2,LAP-032,Byte,32,2048,[],0,7,6.517988744298095,28,57010,0.9385582111106567,374550.4253079298,3,Medium,0.05,Medium,0.25,Medium,2,38,1.0,38,5.0,0,11,26.0,True,OPPORTUNITY
20260822,3,LAP-049,Nova,16,256,"[""LAP-009"",""LAP-014"",""LAP-019"",""LAP-029"",""LAP-034"",""LAP-039""]",1,11,11.367653008324545,20,117210,0.8986444318867823,1158631.2524759474,3,Low,0.02,Low,0.1,Medium,2,17,5.0,0,,0,6,6.0,False,CONSTRAINT_CONFLICT
20260822,4,LAP-009,Nova,16,256,[],0,49,48.9728362084869,71,47820,1.0087618357185355,2363710.558218958,7,Low,0.02,Low,0.1,Medium,2,88,6.0,0,,0,62,20.0,False,HARD_REJECT
20260822,5,LAP-050,Vertex,16,256,[],0,3,2.8036797318206137,20,116540,0.9752992946997224,340984.13941291696,10,Medium,0.05,Low,0.1,Low,0,27,0.0,15,8.0,15,15,27.0,True,OPPORTUNITY
20260822,6,LAP-019,Nova,64,512,[],0,42,42.12771704984296,45,50870,0.8723478885715282,1863806.1578486129,5,Low,0.02,Low,0.1,Low,0,62,3.0,0,,0,29,30.0,False,HARD_REJECT
20260822,7,LAP-004,Nova,8,256,[],0,36,35.75061586453104,52,28000,1.0529237711723103,1061347.1613416888,5,Medium,0.05,Low,0.1,Low,0,116,11.0,0,,0,33,72.0,True,OPPORTUNITY
20260822,8,LAP-020,Vertex,64,512,"[""LAP-040""]",1,15,15.20810388184378,38,40710,1.0153670875542704,620033.9120150153,7,Low,0.02,Low,0.1,Low,0,89,5.0,61,7.0,61,33,112.0,True,OPPORTUNITY
20260822,9,LAP-040,Vertex,64,2048,[],0,10,9.524331663223926,29,60870,0.9542846508021798,580873.0669432869,3,Low,0.02,High,0.5,Low,0,47,4.0,0,,0,11,32.0,True,OPPORTUNITY
20260822,10,LAP-040,Vertex,64,2048,[],0,14,14.473525823152565,29,60870,0.8029236652759821,684235.4890748864,7,Medium,0.05,Low,0.1,High,3,47,4.0,0,,0,26,17.0,True,OPPORTUNITY
